 -42    22   -13
 -64   -61    47
  10    53   -25
 -58    -2    80
 -96   -48   -48
  38    22    63
 -48    51   -16
 -42   -30   -22
  28    70   -27
 -51   -60    10
  -6     8    33
  -7   -98    98
   4   -59   -89
 -93   -35   -56
 -14    46   -83
  -3    65   -66
 -52    10    59
  39    42    97
  53    23   -77
 -91     1    70
 -64   -36    70
  22    88     6
   5    70    67
 -96   -81   -36
   0   -44   -69
 -31    68     8
 -83    69   -24
 -23   -78    39
 -91   -15     8
  16   -75   -34
 -72   -79    85
 -37    51   -99
  18   -30    -1
  -1     9    23
   6    45    90
  -5   -65   -52
  31   -84   -98
 -32   -82    31
 -93    50   -19
 -93   -73   -92
 -39   -76   -76
  22   -25   -77
  -5   -16   -84
 -37   -80    85
 -50    68     6
  32   -88     1
   4    56   -19
  -3   -35   -72
   4   -62   -23
  56    -7    96
 -66    97    51
  11    20   -44
 -79    98    88
 -40   -65    -6
  22    92   -21
  90   -85   -25
 -66   -40    84
  32    82    35
 -99    63    12
  22   -87    89
 -76    -4   -24
  47   -57   -37
  57   -11   -98
 -87   -77   -31
  83    41    61
 -50    53    30
 -51     1   -97
 -55    11   -60
 -84    65    88
  38    71   -18
   3   -32   -40
  51   -56   -57
  17    64   -75
  -4    14    89
 -70    -6   -78
  -6    25    10
  35   -31    96
  48     9   -25
  -7   -22   -30
 -93    48    98
  78    56   -12
 -84    24   -90
 -95   -94   -23
  -7    92    98
 -73     7    86
  11    27   -51
  20   -23    72
  26   -90   -99
 -58   -72    47
 -78    79   -36
  86    19   -65
  70    72   -45
 -67   -66   -36
 -90   -12   -81
  23   -35    54
 -29    90   -73
 -36    49   -18
 -33    65   -57
   1    54    67
 -60    -9   -95
  77    33    26
   9    68    32
  39    69    97
  46   -30    61
 -67   -30    51
  69    99   -91
 -58    -9    52
  61    -3    79
  21    84   -33
 -17    54    50
 -44    52     1
 -60    16    28
   0    10    -7
 -62   -11    45
 -63    37   -22
 -18    10   -19
 -93   -27   -14
  53   -68    -4
  19    -5    74
   2    17   -81
  43    48    88
  73    42   -58
  51   -51   -77
 -20   -28   -51
 -25    95   -93
  60    11   -36
 -38    79    41
 -53    89   -61
 -93   -79    39
   8   -89    68
 -49   -98    15
  10    23    78
  31    82    14
 -21   -38   -60
 -33     6    81
  91     2     9
  55    55    91
  86    77    19
 -66    57    27
  35   -67    77
  38   -19   -53
 -97   -65   -68
 -10   -99    45
  57    27   -85
  21    30    50
 -54    -6   -20
 -31    18    93
 -89   -99   -60
  69    10    64
  10   -26    81
 -36    45    98
  74     5    80
  27   -29   -64
 -41    12    25
 -81    59    96
  45   -93    62
 -51    88    62
  -9   -99    78
 -44    25   -89
  55    66    72
  46   -96   -46
  78   -16    32
  18   -66    34
 -96   -84    22
  80    99    11
 -14   -34   -22
   3    67    91
  96   -23   -13
 -53   -71    95
   7   -30   -59
  93    29    47
 -94   -95    26
  47    21    83
 -44   -78   -44
 -29    46    94
 -36    91    57
  70   -20   -65
  92    42   -23
