32.354	-49.523	12.854
16.064	0.778	4.923
44.779	-26.484	15.608
-22.796	21.150	17.877
42.180	38.016	8.453
6.565	37.885	18.505
-44.346	-31.632	14.316
44.731	-49.541	18.792
-3.602	13.000	24.518
-7.939	-12.277	29.052
-31.946	-2.297	0.846
39.825	-13.139	25.284
-44.068	-18.491	14.896
38.688	9.699	5.436
36.659	13.804	19.472
-44.748	13.997	8.792
41.225	-42.410	22.350
33.110	-45.743	10.732
44.913	-20.245	25.470
-38.690	27.588	4.103
-41.921	36.522	1.389
-17.013	-35.116	28.486
26.622	49.441	26.283
39.115	4.750	10.588
-31.449	42.220	9.608
9.847	16.143	6.200
45.879	-37.400	12.948
-11.077	-29.196	24.158
13.275	16.168	19.951
-43.187	25.937	29.566
-21.589	-16.947	11.407
-11.175	-39.918	4.468
31.271	10.095	9.590
-31.407	-8.913	6.610
23.606	-40.802	5.934
-16.242	-13.752	26.950
-38.563	35.136	27.842
7.751	2.555	4.823
6.355	30.979	12.812
46.304	26.787	13.827
-14.530	-8.275	0.611
-18.056	2.778	27.774
33.587	29.492	13.227
10.453	11.732	5.287
27.204	31.967	7.611
37.584	-33.091	20.508
9.567	-23.230	29.098
14.468	4.495	10.575
-26.404	28.476	26.122
39.853	23.160	26.737
-34.679	-16.739	24.458
-26.078	-21.819	10.773
14.301	24.008	14.186
-6.047	36.250	24.922
-41.370	37.699	4.329
-22.830	-26.068	28.126
30.502	48.615	2.760
-46.106	25.111	22.689
-39.885	7.357	9.970
29.381	0.837	24.974
-47.414	19.120	1.710
-16.055	49.163	20.399
-25.437	37.517	0.115
-39.784	-2.700	27.488
48.153	-25.773	26.317
47.672	-27.212	14.439
-18.460	-48.759	1.767
46.727	-33.607	19.265
-48.844	-0.947	1.117
39.007	4.635	12.254
42.187	-45.872	1.152
0.464	44.235	22.446
-49.059	32.546	19.795
32.261	-7.756	21.341
-4.328	8.404	26.671
40.574	42.533	12.490
-15.049	-40.467	3.422
-15.386	-29.485	26.361
38.435	-37.296	0.660
38.612	-48.455	20.426
-48.760	13.896	18.040
-22.560	17.573	16.277
-48.018	36.110	29.921
8.508	-13.486	8.200
26.090	9.168	27.884
-21.475	3.903	2.376
32.021	6.501	6.357
41.483	-5.952	17.991
32.662	35.069	5.606
-6.662	-31.040	16.882
-10.005	-40.091	11.738
-6.901	-33.346	24.640
43.064	42.267	20.653
36.769	-9.639	19.760
-41.380	-42.513	8.955
19.142	-40.165	3.819
-46.429	27.617	3.789
-9.622	2.857	29.591
0.415	7.962	25.514
-17.431	-45.588	18.390
